space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume,funding_rate
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T06:00:00Z,venue:binance,580.94,582.71,580.11,580.16,18154.32,10554869.089,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T07:00:00Z,venue:binance,580.17,580.59,576.8,576.84,22222.48,12854111.7475,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T08:00:00Z,venue:binance,576.85,578.08,576.19,577.58,22043.07,12718239.8806,0.00013454
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T09:00:00Z,venue:binance,577.58,578.33,576.99,577.48,15339.71,8861216.881000001,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T10:00:00Z,venue:binance,577.48,579.15,577.29,579.06,9398.59,5437221.5318,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T11:00:00Z,venue:binance,579.07,579.41,578.13,579.3,7600.21,4400106.8016,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T12:00:00Z,venue:binance,579.3,585.0,577.51,582.97,37144.33,21599682.2456,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T13:00:00Z,venue:binance,582.97,585.77,581.4,582.9,43221.12,25223327.6328,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T14:00:00Z,venue:binance,582.91,584.18,580.57,582.05,28804.6,16772492.2437,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T15:00:00Z,venue:binance,582.05,582.79,580.76,582.08,14893.43,8664774.1491,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T16:00:00Z,venue:binance,582.09,582.2,576.9,578.99,28794.39,16674758.543,8.756e-05
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T17:00:00Z,venue:binance,578.99,581.2,578.72,580.45,13782.14,7994205.2469,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T18:00:00Z,venue:binance,580.44,582.35,579.84,580.16,13350.92,7760659.8765,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T19:00:00Z,venue:binance,580.15,580.79,579.0,579.94,6142.18,3563366.184,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T20:00:00Z,venue:binance,579.93,581.73,579.67,581.23,5589.06,3246532.5824,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T21:00:00Z,venue:binance,581.22,581.73,580.86,581.53,5632.59,3274263.0925,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T22:00:00Z,venue:binance,581.52,582.4,580.96,581.47,6272.82,3648000.9823,
crypto_market,perpetual_kline_1h,BNB-USDT,1H,2026-07-15T23:00:00Z,venue:binance,581.47,582.05,580.31,581.03,7111.67,4132533.0539,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T00:00:00Z,venue:binance,65014.6,65043.3,64743.6,64798.1,4489.662,291260853.7614,0.0001
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T01:00:00Z,venue:binance,64798.1,64830.2,64618.8,64643.7,3480.114,225192393.8365,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T02:00:00Z,venue:binance,64643.7,64732.6,64456.7,64473.0,3174.884,204927664.3184,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T03:00:00Z,venue:binance,64473.1,64820.1,64473.0,64760.8,2866.928,185373608.7525,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T04:00:00Z,venue:binance,64760.9,64868.0,64686.6,64723.5,2176.426,140985278.8657,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T05:00:00Z,venue:binance,64723.6,64941.7,64580.0,64920.5,2716.995,175883868.9139,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T06:00:00Z,venue:binance,64920.5,65260.0,64784.7,64784.7,8661.145,563221809.3933,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T07:00:00Z,venue:binance,64784.8,64850.0,64450.9,64528.0,6827.282,441139628.6091,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T08:00:00Z,venue:binance,64528.0,64785.8,64528.0,64745.0,3889.073,251427366.9281,0.0001
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T09:00:00Z,venue:binance,64744.9,64899.9,64626.2,64644.6,3146.199,203786245.6668,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T10:00:00Z,venue:binance,64644.6,64826.8,64582.7,64633.0,2611.385,168912790.9394,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T11:00:00Z,venue:binance,64633.0,64728.7,64585.6,64707.5,1873.463,121146338.1558,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T12:00:00Z,venue:binance,64707.4,65241.3,64568.8,65133.7,12263.474,795838971.2457,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T13:00:00Z,venue:binance,65133.7,65550.5,64852.5,65090.2,18067.99,1179423648.0364,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T14:00:00Z,venue:binance,65090.2,65497.0,65033.5,65364.8,10429.982,680937670.9553,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T15:00:00Z,venue:binance,65364.8,65589.7,65230.0,65391.6,7683.692,502612907.0317,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T16:00:00Z,venue:binance,65391.5,65438.0,64752.0,65089.5,14894.086,968547770.8818,4.457e-05
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T17:00:00Z,venue:binance,65089.6,65148.2,64939.5,65023.1,8953.781,582313076.8968,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T18:00:00Z,venue:binance,65023.1,65130.0,64817.1,64837.4,3429.166,222862977.9524,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T19:00:00Z,venue:binance,64837.4,64967.9,64708.0,64942.0,2826.502,183299698.94,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T20:00:00Z,venue:binance,64942.1,65030.5,64869.8,64939.9,1207.369,78429427.9175,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T21:00:00Z,venue:binance,64939.9,64985.9,64756.7,64800.0,1958.445,126975118.9475,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T22:00:00Z,venue:binance,64800.0,64949.7,64739.0,64831.5,2140.517,138800750.2988,
crypto_market,perpetual_kline_1h,BTC-USDT,1H,2026-07-15T23:00:00Z,venue:binance,64831.6,64912.5,64660.0,64721.4,2455.054,158978086.1172,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T00:00:00Z,venue:binance,0.07442,0.0745,0.07393,0.0741,140267218,10408899.76435,7.995e-05
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T01:00:00Z,venue:binance,0.07409,0.07417,0.07383,0.074,83257510,6161316.64512,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T02:00:00Z,venue:binance,0.07399,0.07408,0.07361,0.07372,112934022,8339303.38647,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T03:00:00Z,venue:binance,0.07372,0.07417,0.07367,0.074,114518729,8469384.8925,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T04:00:00Z,venue:binance,0.07399,0.07419,0.07377,0.07406,80972806,5993649.18699,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T05:00:00Z,venue:binance,0.07406,0.07452,0.0738,0.07439,96716513,7164674.93934,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T06:00:00Z,venue:binance,0.07439,0.0749,0.07432,0.07439,168422673,12556267.01061,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T07:00:00Z,venue:binance,0.07439,0.0744,0.07383,0.07396,141438907,10479146.77519,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T08:00:00Z,venue:binance,0.07396,0.07426,0.07388,0.07416,108765388,8058849.3132,9.404e-05
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T09:00:00Z,venue:binance,0.07417,0.07449,0.0734,0.07368,299312907,22115691.84465,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T10:00:00Z,venue:binance,0.07367,0.07387,0.0736,0.07376,102129608,7531538.86792,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T11:00:00Z,venue:binance,0.07376,0.07385,0.07353,0.07382,94899880,6995179.07506,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T12:00:00Z,venue:binance,0.07383,0.07477,0.07363,0.07466,248019339,18416438.62144,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T13:00:00Z,venue:binance,0.07467,0.07524,0.07425,0.07452,363729063,27210316.56513,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T14:00:00Z,venue:binance,0.07453,0.07513,0.07445,0.07486,277440334,20753017.37819,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T15:00:00Z,venue:binance,0.07486,0.07497,0.07427,0.07459,205114962,15291653.35515,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T16:00:00Z,venue:binance,0.07459,0.07465,0.07329,0.07391,386088372,28526682.37305,9.641e-05
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T17:00:00Z,venue:binance,0.0739,0.07437,0.07377,0.07421,150556540,11153972.60186,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T18:00:00Z,venue:binance,0.07421,0.07475,0.07393,0.07403,159610297,11869616.06284,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T19:00:00Z,venue:binance,0.07402,0.07415,0.07363,0.0738,83197835,6145431.61445,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T20:00:00Z,venue:binance,0.0738,0.07411,0.07371,0.074,64634672,4779772.98029,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T21:00:00Z,venue:binance,0.07399,0.07415,0.0739,0.07401,48107815,3561722.32942,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T22:00:00Z,venue:binance,0.074,0.07424,0.07387,0.07402,47268485,3499818.82608,
crypto_market,perpetual_kline_1h,DOGE-USDT,1H,2026-07-15T23:00:00Z,venue:binance,0.07401,0.07415,0.07393,0.07405,34613519,2563607.74217,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T00:00:00Z,venue:binance,0.851,0.857,0.851,0.854,1834643.4,1566830.676,-5.611e-05
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T01:00:00Z,venue:binance,0.855,0.859,0.853,0.857,1456832.1,1247404.6057,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T02:00:00Z,venue:binance,0.857,0.858,0.851,0.851,1275247.5,1090713.9743,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T03:00:00Z,venue:binance,0.852,0.856,0.849,0.854,1093476.5,931461.6962,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T04:00:00Z,venue:binance,0.854,0.855,0.849,0.852,891358.6,759403.8523,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T05:00:00Z,venue:binance,0.852,0.855,0.846,0.855,1246587.6,1059197.3421,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T06:00:00Z,venue:binance,0.855,0.861,0.853,0.856,2121478.4,1818007.2587,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T07:00:00Z,venue:binance,0.856,0.857,0.85,0.852,1745502.0,1490197.4767,
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T08:00:00Z,venue:binance,0.853,0.854,0.849,0.853,1073012.4,913370.2347,0.0001
crypto_market,perpetual_kline_1h,DOT-USDT,1H,2026-07-15T09:00:00Z,venue:binance,0.853,0.856,0.849,0.851,1284045.0,1094755.9236,
