space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T03:00:00Z,venue:binance,64490.87,64840.0,64490.86,64792.01,379.79444,24556380.1262968
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T04:00:00Z,venue:binance,64792.0,64885.99,64714.0,64746.01,289.24746,18744503.5745307
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T05:00:00Z,venue:binance,64746.01,64964.96,64602.5,64944.06,686.5094,44428561.405967
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T06:00:00Z,venue:binance,64944.06,65277.37,64814.0,64814.0,974.06143,63357389.0814918
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T07:00:00Z,venue:binance,64814.01,64876.0,64485.0,64549.34,1209.74716,78196461.07060081
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T08:00:00Z,venue:binance,64549.33,64797.02,64549.33,64768.01,958.47053,62009500.8512336
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T09:00:00Z,venue:binance,64768.0,64917.94,64653.18,64671.83,542.47841,35158818.2158306
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T10:00:00Z,venue:binance,64671.84,64855.56,64614.0,64663.0,316.30209,20467657.2687534
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T11:00:00Z,venue:binance,64663.0,64767.37,64616.11,64732.15,500.13863,32358687.1046917
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T12:00:00Z,venue:binance,64732.15,65249.9,64606.0,65164.0,1837.40143,119231761.7289393
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T13:00:00Z,venue:binance,65164.0,65577.0,64888.0,65117.99,1942.12357,126827754.6608841
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T14:00:00Z,venue:binance,65118.0,65517.05,65070.0,65399.81,1187.13269,77547190.7989859
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T15:00:00Z,venue:binance,65399.8,65600.0,65261.71,65427.61,1153.25811,75449236.7804924
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T16:00:00Z,venue:binance,65427.6,65470.0,64784.83,65120.79,1423.19665,92630468.4490048
crypto_market,spot_kline_1h,BTC-USDT,1H,2026-07-15T17:00:00Z,venue:binance,65120.8,65194.72,64972.95,65056.1,1119.69712,72840642.5011165
