space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,amount
stock_cn,stock_cn_kline,sh688660,1d,2026-07-14T15:00:00+08:00,,8.1,8.5,7.56,7.67,36522999.0,287959562.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-15T15:00:00+08:00,,7.56,8.36,7.56,8.03,34467319.0,276767921.0
stock_cn,stock_cn_kline,sh688660,1d,2026-07-16T15:00:00+08:00,,7.97,8.43,7.92,8.23,28408733.0,233040214.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-02T15:00:00+08:00,,81.15,83.19,77.8,78.58,16344022.0,1309034746.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-03T15:00:00+08:00,,78.0,81.3,75.8,77.6,11407982.0,896958121.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-06T15:00:00+08:00,,78.88,82.48,75.6,78.18,11397276.0,899973139.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-07T15:00:00+08:00,,77.98,78.9,72.3,74.11,15940201.0,1193365694.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-08T15:00:00+08:00,,75.73,77.6,71.48,73.19,10706321.0,794382087.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-09T15:00:00+08:00,,75.19,76.38,71.5,76.11,13378323.0,992714097.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-10T15:00:00+08:00,,77.43,78.75,72.35,72.42,12810944.0,971628891.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-13T15:00:00+08:00,,72.59,73.56,65.13,65.8,17322771.0,1188629788.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-14T15:00:00+08:00,,65.78,71.8,65.5,70.3,13959028.0,954051775.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-15T15:00:00+08:00,,70.72,71.69,67.05,68.42,9431835.0,650238340.0
stock_cn,stock_cn_kline,sh688700,1d,2026-07-16T15:00:00+08:00,,67.06,69.36,63.14,63.9,11237745.0,738733389.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-02T15:00:00+08:00,,18.9,19.53,18.53,18.6,43414904.0,825247810.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-03T15:00:00+08:00,,18.59,20.25,18.2,19.41,63427262.0,1230228922.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-06T15:00:00+08:00,,19.4,19.77,17.89,17.93,55907495.0,1037159304.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-07T15:00:00+08:00,,18.08,18.78,18.0,18.63,41529195.0,766022955.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-08T15:00:00+08:00,,18.48,18.48,17.28,17.3,43661360.0,772969731.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-09T15:00:00+08:00,,17.33,17.5,16.54,17.33,46014766.0,782771791.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-10T15:00:00+08:00,,17.25,18.61,17.16,17.94,53348322.0,959020242.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-13T15:00:00+08:00,,17.8,17.98,15.85,15.87,42124276.0,699807141.0
stock_cn,stock_cn_kline,sh688772,1d,2026-07-14T15:00:00+08:00,,15.93,16.0,15.33,15.75,31904941.0,498500316.0
