space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,quote_volume,funding_rate
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T20:00:00Z,1923.2,1930.0,1918.64,1922.65,63674.742,122504105.9274,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T21:00:00Z,1922.66,1924.99,1918.67,1921.29,35622.004,68451132.57941,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T22:00:00Z,1921.28,1927.34,1917.3,1922.46,73439.19499999999,141190570.67089,
crypto,binance_perpetual_kline_1h,ETH-USDT,1h,2026-07-15T23:00:00Z,1922.47,1926.28,1913.91,1916.91,83112.091,159434449.7401,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T00:00:00Z,77.83,77.88,77.43,77.64,416541.08,32341063.1485,1.428e-05
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T01:00:00Z,77.63,77.79,77.22,77.4,668342.67,51777773.036,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T02:00:00Z,77.4,77.55,76.98,77.26,950369.57,73358655.8998,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T03:00:00Z,77.27,77.86,77.17,77.73,458729.67,35570799.3294,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T04:00:00Z,77.73,78.15,77.49,77.97,640637.02,49889009.8026,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T05:00:00Z,77.97,78.33,77.61,78.23,747140.25,58238685.4055,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T06:00:00Z,78.22,78.68,77.9,77.9,1511031.23,118345860.7478,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T07:00:00Z,77.9,77.97,77.36,77.36,692366.73,53773044.8342,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T08:00:00Z,77.37,77.58,77.2,77.53,619833.97,47979452.3613,2.48e-05
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T09:00:00Z,77.53,77.87,77.39,77.43,373204.69,28977607.7743,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T10:00:00Z,77.44,77.68,77.16,77.33,526463.66,40721197.4394,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T11:00:00Z,77.33,77.48,77.29,77.48,222192.41,17197509.7412,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T12:00:00Z,77.48,78.28,77.21,78.25,1213062.52,94349283.3731,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T13:00:00Z,78.25,79.01,77.64,78.05,2529896.42,198573427.3254,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T14:00:00Z,78.06,78.34,77.73,78.17,1121976.37,87568909.5905,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T15:00:00Z,78.18,78.22,77.7,78.03,896172.12,69927377.6927,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T16:00:00Z,78.03,78.09,77.02,77.59,1217367.85,94309018.5637,-6.87e-06
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T17:00:00Z,77.59,78.0,77.45,77.78,588945.44,45769561.4413,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T18:00:00Z,77.77,78.04,77.46,77.55,489129.25,38060622.2794,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T19:00:00Z,77.55,77.66,76.86,77.14,729398.79,56309516.0016,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T20:00:00Z,77.14,77.5,77.06,77.35,334502.91,25860876.549,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T21:00:00Z,77.34,77.49,77.19,77.39,192463.74,14882989.6827,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T22:00:00Z,77.38,77.7,77.25,77.47,363283.53,28159246.7102,
crypto,binance_perpetual_kline_1h,SOL-USDT,1h,2026-07-15T23:00:00Z,77.47,77.58,77.16,77.23,315773.84,24420856.7318,
